date,airlines,flight_no,departure_airport,departure_time,arrival_city,arrival_time,distance,flight_duration,flight_duration_hours,flight_duration_minutes
2018/12/1,斯里兰卡航空,UL121,科伦坡班达拉奈克国际,07:15,金奈国际,08:35,646km,1 hr 20 min,1,20
2018/12/1,斯里兰卡航空,UL867,上海浦东,00:20,科伦坡班达拉奈克国际,05:10,5104km,7 hr 20 min,7,20
2018/11/30,全日空航空,NH921,东京成田,18:50,上海浦东,21:30,1797km,3 hr 40 min,3,40
2018/11/29,全日空航空,NH171,诺曼峰田圣何塞,10:55,东京成田,15:10,8285km,11 hr 15 min,11,15
2018/9/9,美国联合,UA1442,芝加哥奥黑尔,10:15,旧金山国际,12:45,2968km,4 hr 30 min,4,30
2018/9/7,美国联合,UA2264,旧金山国际,23:59,芝加哥奥黑尔,05:51,2968km,3 hr 52 min,3,52
2018/7/30,全日空航空,NH7012,东京成田,17:00,旧金山国际,10:45,8235km,9 hr 45 min,9,45
2018/7/30,全日空航空,NH828,德里英迪拉甘地,01:10,东京成田,12:55,5883km,8 hr 15 min,8,15
2018/7/29,捷特航空,9W305,孟买贾特拉帕蒂希瓦吉,15:25,德里英迪拉甘地,17:40,1139km,2 hr 15 min,2,15
2018/7/28,印度航空,AI604,班加罗尔,08:50,孟买贾特拉帕蒂希瓦吉,10:45,835km,1 hr 55 min,1,55
2018/7/22,印度航空,AI174,德里英迪拉甘地,17:40,班加罗尔,20:25,1710km,2 hr 45 min,2,45
2018/7/21,捷特航空,9W339,孟买贾特拉帕蒂希瓦吉,03:00,德里英迪拉甘地,05:05,1139km,2 hr 05 min,2,5
2018/7/20,汉莎航空,LH764,慕尼黑,11:45,孟买贾特拉帕蒂希瓦吉,23:15,6313km,8 hr 00 min,8,0
2018/7/19,美国联合,UA194,旧金山国际,13:55,慕尼黑,10:05,9437km,11 hr 10 min,11,10
2018/6/3,西南航空,WN6257,西雅图塔克马国际,20:50,诺曼峰田圣何塞,22:55,1124km,2 hr 05 min,2,5
2018/6/1,西南航空,WN244,诺曼峰田圣何塞,19:50,西雅图塔克马国际,21:55,1124km,2 hr 05 min,2,5
2018/5/13,西南航空,WN3130,休斯敦霍比,11:30,诺曼峰田圣何塞,14:55,2716km,5 hr 25 min,5,25
2018/5/10,西南航空,WN1792,诺曼峰田圣何塞,13:55,休斯敦霍比,19:35,2607km,3 hr 40 min,3,40
2018/4/29,西南航空,WN1689,西雅图塔克马国际,12:00,诺曼峰田圣何塞,14:15,1124km,2 hr 15 min,2,15
2018/4/27,西南航空,WN244,诺曼峰田圣何塞,19:50,西雅图塔克马国际,21:55,1124km,2 hr 05 min,2,5
2018/3/13,阿拉斯加航空,AS302,西雅图塔克马国际,11:40,诺曼峰田圣何塞,13:47,1124km,2 hr 07 min,2,7
2018/3/9,阿拉斯加航空,AS327,诺曼峰田圣何塞,08:00,西雅图塔克马国际,10:15,1124km,2 hr 15 min,2,15
2018/1/23,精神航空,NK217,休斯敦乔治布什洲际,23:00,洛杉矶国际,02:51,2217km,5 hr 51 min,5,51
2018/1/23,精神航空,NK957,洛杉矶国际,08:00,奥克兰都会,09:28,543km,1 hr 28 min,1,28
2018/1/12,美国联合,UA4369,伯明翰沙特尔斯沃思国际,10:25,休斯敦乔治布什洲际,12:35,904km,2 hr 10 min,2,10
2018/1/11,美国联合,UA4366,休斯敦乔治布什洲际,21:55,伯明翰沙特尔斯沃思国际,23:45,904km,1 hr 50 min,1,50
2018/1/4,美国联合,UA1925,休斯敦乔治布什洲际,20:05,旧金山国际,00:40,2631km,6 hr 35 min,6,35
2018/1/4,美国联合,UA1925,休斯敦乔治布什洲际,06:05,旧金山国际,08:40,2631km,4 hr 35 min,4,35
2017/12/26,美国联合,UA1963,洛杉矶国际,12:35,休斯敦乔治布什洲际,17:51,2217km,3 hr 16 min,3,16
2017/12/16,美国联合,UA1925,休斯敦乔治布什洲际,06:00,旧金山国际,08:37,2631km,4 hr 37 min,4,37
2017/12/4,美国联合,UA1851,诺曼峰田圣何塞,13:05,休斯敦乔治布什洲际,18:54,2586km,3 hr 49 min,3,49
2017/12/2,美国联合,UA1957,休斯敦乔治布什洲际,09:50,诺曼峰田圣何塞,12:10,2586km,4 hr 20 min,4,20
2017/12/1,西南航空,WN12,休斯敦霍比,23:00,爱田,00:10,385km,1 hr 10 min,1,10
2017/12/1,西南航空,WN55,爱田,20:00,休斯敦霍比,21:05,385km,1 hr 05 min,1,5
2017/8/31,美国联合,UA1407,洛杉矶国际,09:01,休斯敦乔治布什洲际,14:30,2217km,3 hr 29 min,3,29
2017/8/26,美国联合,UA1227,休斯敦乔治布什洲际,11:55,洛杉矶国际,13:29,2217km,3 hr 34 min,3,34
2017/8/21,美国联合,UA1879,圣地亚哥国际,15:40,休斯敦乔治布什洲际,20:57,2096km,3 hr 17 min,3,17
2017/8/19,美国联合,UA1150,休斯敦乔治布什洲际,09:31,圣地亚哥国际,10:43,2096km,3 hr 12 min,3,12
2017/8/16,阿拉斯加航空,AS776,西雅图塔克马国际,22:50,休斯敦乔治布什洲际,05:10,3016km,4 hr 20 min,4,20
2017/8/16,海南航空,HU495,北京首都,15:50,西雅图塔克马国际,11:35,8679km,10 hr 45 min,10,45
2017/8/15,南方航空,CZ6213,大庆萨尔图,07:25,北京首都,09:35,1100km,2 hr 10 min,2,10
2017/8/6,东方航空,MU5611,上海浦东,14:05,哈尔滨太平,18:50,1854km,4 hr 45 min,4,45
2017/8/4,东方航空,MU9172,哈尔滨太平,11:50,上海浦东,14:45,1854km,2 hr 55 min,2,55
2017/7/17,海南航空,HU496,西雅图塔克马国际,14:00,北京首都,16:35,8679km,11 hr 35 min,11,35
2017/7/17,阿拉斯加航空,AS347,休斯敦乔治布什洲际,06:23,西雅图塔克马国际,09:02,3016km,4 hr 39 min,4,39
2017/6/4,美国航空,AA1054,达拉斯沃思堡国际,21:45,休斯敦乔治布什洲际,22:52,362km,1 hr 07 min,1,7
2017/6/4,美国航空,AA1009,旧金山国际,15:35,达拉斯沃思堡国际,19:00,2362km,1 hr 25 min,1,25
2017/6/1,边疆航空,F91435,休斯敦乔治布什洲际,20:59,旧金山国际,23:19,2631km,4 hr 20 min,4,20
2016/12/23,新加坡航空,SQ52,曼彻斯特,10:10,休斯敦乔治布什洲际,14:30,7578km,10 hr 20 min,10,20
2016/12/14,新加坡航空,SQ51,休斯敦乔治布什洲际,18:50,曼彻斯特,09:40,7578km,8 hr 50 min,8,50
2016/10/24,精神航空,NK906,奥克兰都会,13:28,休斯敦乔治布什洲际,19:14,2618km,3 hr 46 min,3,46
2016/10/21,精神航空,NK825,休斯敦乔治布什洲际,10:44,奥克兰都会,12:48,2618km,4 hr 04 min,4,4
2016/8/10,中国国航,CA995,北京首都,15:00,休斯敦乔治布什洲际,15:40,11643km,13 hr 40 min,13,40
2016/8/9,中国国航,CA1696,大庆萨尔图,16:05,北京首都,18:10,1100km,2 hr 05 min,2,5
2016/7/30,南方航空,CZ6226,青岛流亭,22:20,大庆萨尔图,00:25,1375km,2 hr 05 min,2,5
2016/7/24,南方航空,CZ6225,大庆萨尔图,14:30,青岛流亭,16:45,1375km,2 hr 15 min,2,15
2016/5/27,南方航空,CZ6200,广州白云,15:25,大庆萨尔图,21:40,2991km,6 hr 15 min,6,15
2016/5/19,国泰航空,CX501,东京成田,10:45,香港国际,14:40,2933km,4 hr 55 min,4,55
2016/5/11,国泰航空,CX520,香港国际,10:30,东京成田,15:55,2933km,4 hr 25 min,4,25
2016/3/26,东方航空,MU711,上海浦东,13:40,香港国际,16:20,1244km,2 hr 40 min,2,40
2016/3/24,东方航空,MU5342,深圳宝安,12:55,上海浦东,15:20,1343km,2 hr 25 min,2,25
2016/2/14,东方航空,MU9845,上海虹桥,15:15,香港国际,17:35,1244km,2 hr 20 min,2,20
2016/2/14,上海航空,FM845,上海虹桥,15:15,香港国际,17:35,1244km,2 hr 20 min,2,20
2016/2/14,东方航空,MU5514,青岛流亭,08:00,上海虹桥,09:45,693km,1 hr 45 min,1,45
2016/2/6,东方航空,MU5517,上海虹桥,17:05,青岛流亭,18:40,693km,1 hr 35 min,1,35
2016/2/6,东方航空,MU722,香港国际,11:55,上海虹桥,14:30,1244km,2 hr 35 min,2,35
2016/1/8,南方航空,CZ6199,大庆萨尔图,08:25,广州白云,14:55,2991km,6 hr 30 min,6,30
2015/12/21,南方航空,CZ6212,深圳宝安,11:30,哈尔滨太平,17:35,3034km,6 hr 05 min,6,5
2015/6/29,东方航空,MU203,西安咸阳,11:10,香港国际,13:35,1440km,2 hr 25 min,2,25
2015/6/27,中国国航,CA1223,北京首都,12:25,西安咸阳,14:25,936km,2 hr 00 min,2,0
2015/6/26,中国国航,CA1684,大庆萨尔图,09:50,北京首都,12:00,1100km,2 hr 10 min,2,10
2015/5/23,南方航空,CZ6226,上海浦东,19:10,大庆萨尔图,23:25,1950km,4 hr 15 min,4,15
2015/5/21,山东航空,SC4603,青岛流亭,18:55,上海浦东,20:20,693km,1 hr 25 min,1,25
2015/5/21,南方航空,CZ6225,大庆萨尔图,14:10,上海浦东,18:15,1950km,4 hr 05 min,4,5
2015/5/11,南方航空,CZ6200,广州白云,15:25,大庆萨尔图,21:40,2991km,6 hr 15 min,6,15
2015/2/23,南方航空,CZ6273,哈尔滨太平,08:55,深圳宝安,13:30,3034km,4 hr 35 min,4,35
2015/2/13,南方航空,CZ6200,广州白云,16:00,大庆萨尔图,22:10,2991km,6 hr 10 min,6,10
2015/1/10,东方航空,MU723,上海浦东,18:30,香港国际,21:30,1244km,3 hr 00 min,3,0
2015/1/10,东方航空,MU5518,青岛流亭,12:35,上海虹桥,14:10,693km,1 hr 35 min,1,35
2015/1/4,南方航空,CZ6225,大庆萨尔图,13:50,青岛流亭,15:50,1375km,2 hr 00 min,2,0
2014/12/14,南方航空,CZ6200,广州白云,16:00,大庆萨尔图,22:10,2991km,6 hr 10 min,6,10
2014/12/11,虎航,TR2066,新加坡樟宜,14:10,香港国际,18:10,2565km,4 hr 00 min,4,0
2014/11/16,泰国航空,TG403,曼谷素万那普国际,08:00,新加坡樟宜,11:15,1430km,2 hr 15 min,2,15
2014/11/13,泰国航空,TG408,新加坡樟宜,18:15,曼谷素万那普国际,19:35,1430km,2 hr 20 min,2,20
2014/10/3,虎航,TR1,悉尼金斯福德,12:40,新加坡樟宜,18:50,6295km,8 hr 10 min,8,10
2014/9/30,澳洲航空,QF444,墨尔本,15:30,悉尼金斯福德,16:55,733km,1 hr 25 min,1,25
2014/9/28,澳洲航空,QF686,阿德莱德,14:15,墨尔本,15:35,637km,0 hr 50 min,0,50
2014/9/27,澳洲航空,QF668,珀斯,09:35,阿德莱德,13:55,2117km,2 hr 50 min,2,50
2014/9/25,虎航,TR8,新加坡樟宜,12:30,珀斯,17:15,3912km,4 hr 45 min,4,45
2014/8/5,虎航,TR2069,香港国际,21:45,新加坡樟宜,01:35,2565km,3 hr 50 min,3,50
2014/8/5,南方航空,CZ6273,哈尔滨太平,09:05,深圳宝安,13:25,3034km,4 hr 20 min,4,20
2014/7/25,中国国航,CA990,纽约肯尼迪国际,12:50,北京首都,14:20,10970km,13 hr 30 min,13,30
2014/7/15,国泰航空,CX830,香港国际,09:20,纽约肯尼迪国际,13:05,12963km,15 hr 45 min,15,45
2014/7/12,南方航空,CZ6708,哈尔滨太平,12:00,上海浦东,14:25,1854km,2 hr 25 min,2,25
2014/6/23,南方航空,CZ6200,广州白云,15:35,大庆萨尔图,21:50,2991km,6 hr 15 min,6,15
2014/6/22,港龙航空,KA207,金边国际,11:25,香港国际,15:05,1536km,2 hr 40 min,2,40
2014/6/11,港龙航空,KA206,香港国际,14:30,金边国际,16:05,1536km,2 hr 35 min,2,35
2014/2/9,东方航空,MU509,上海浦东,14:55,香港国际,17:35,1254km,2 hr 40 min,2,40
2014/2/9,东方航空,MU5616,哈尔滨太平,09:30,上海浦东,12:05,1854km,2 hr 35 min,2,35
2014/1/29,东方航空,MU5611,上海浦东,14:20,哈尔滨太平,17:10,1854km,2 hr 50 min,2,50
2014/1/29,东方航空,MU724,香港国际,09:55,上海浦东,12:15,1244km,2 hr 20 min,2,20
2013/8/25,南方航空,CZ6199,大庆萨尔图,08:00,广州白云,14:05,2991km,6 hr 05 min,6,5
2013/6/3,香港航空,HX408,香港国际,11:40,哈尔滨太平,16:30,2850km,4 hr 50 min,4,50
2013/3/31,春秋航空,9C8969,上海浦东,19:05,香港国际,21:25,1244km,2 hr 20 min,2,20
2013/3/28,南方航空,CZ6755,深圳宝安,09:50,上海浦东,12:10,1343km,2 hr 20 min,2,20
2013/2/16,南方航空,CZ6357,青岛流亭,12:05,深圳宝安,14:55,2049km,2 hr 50 min,2,50
2013/2/9,港龙航空,KA950,香港国际,10:45,青岛流亭,13:50,1654km,3 hr 05 min,3,5
2013/1/26,南方航空,CZ3743,哈尔滨太平,10:10,深圳宝安,16:05,3034km,5 hr 55 min,5,55
2013/1/15,深圳航空,ZH9771,深圳宝安,12:40,哈尔滨太平,17:00,3034km,4 hr 20 min,4,20
2012/8/24,南方航空,CZ3743,哈尔滨太平,10:00,深圳宝安,16:05,3034km,6 hr 05 min,6,5
2012/8/4,南方航空,CZ6214,北京首都,10:30,大庆萨尔图,12:30,1100km,2 hr 00 min,2,0
2012/8/2,汉莎航空,LH720,法兰克福,17:10,北京首都,09:30,7789km,10 hr 20 min,10,20
2012/8/2,汉莎航空,LH1031,巴黎戴高乐,11:30,法兰克福,12:45,449km,1 hr 15 min,1,15
2012/7/23,汉莎航空,LH238,法兰克福,16:05,罗马菲乌米奇诺,17:55,961km,1 hr 50 min,1,50
2012/7/23,汉莎航空,LH721,北京首都,10:30,法兰克福,13:45,7789km,9 hr 15 min,9,15
2012/7/20,南方航空,CZ6213,大庆萨尔图,07:50,北京首都,09:35,1100km,1 hr 45 min,1,45
2012/2/12,南方航空,CZ6226,上海浦东,18:40,大庆萨尔图,22:40,1950km,4 hr 00 min,4,0
2012/2/10,南方航空,CZ6225,大庆萨尔图,13:30,上海浦东,17:40,1950km,4 hr 10 min,4,10
2011/2/6,南方航空,CZ6226,青岛流亭,20:40,大庆萨尔图,22:40,1375km,2 hr 00 min,2,0
2011/1/29,南方航空,CZ6225,大庆萨尔图,13:30,青岛流亭,15:30,1375km,2 hr 00 min,2,0
2010/10/4,东方航空,MU5611,上海浦东,15:30,哈尔滨太平,18:10,1854km,2 hr 40 min,2,40
2010/10/1,东方航空,MU5620,哈尔滨太平,08:00,上海浦东,10:30,1854km,2 hr 30 min,2,30
2010/7/19,南方航空,CZ3632,哈尔滨太平,12:55,青岛流亭,14:45,1152km,1 hr 50 min,1,50
